Harbour Bridge
Central Station
Sydney Harbour Bridge
Sydney Opera House
Circular Quay
The Rocks
The Rocks Discovery Museum
Royal Botanic Gardens
Chinatown
Darling Harbour
National Maritime Museum
Madame Tussaud’s
WildLife Zoo
Barangaroo
Queen Victoria Building
Manly Beach
Bondi Beach
Pitt Street Mall
QVB
World Square
Paddy’s Markets
Paddington Markets
St Mary’s Cathedral
Town Hall
the Queen Victoria Building
The Strand Arcade
the Archibald Fountain
Hyde Park
Bondi Beach
Bondi Junction
Manly Beach
Palm Beach
Narrabeen
Dee Why
Curl Curl
Tamarama
Bronte
Clovelly
Coogee
Maroubra
Cronulla
Kings Cross
The Blue Mountains
Echo Point
The Three Sisters
The Central Coast
Hunter Valley
Southern Highlands
South Coast
Snowy Mountains
Harry’s Cafe de Wheels
Woolloomooloo
Bondi
Coogee
Palm Beach
Barrenjoey Headland
The Australian Heritage Hotel
Taronga Zoo
Art Gallery of New South Wales
Surry Hills
Darlinghurst
Redfern
Chippendale
