QUEEN VICTORIA BUILDING
ROYAL BOTANICAL GARDENS
Martin Place
Circular Quay
COOGEE
BONDI
Coogee Beach
Mad Monkey Hostels
Bondi Junction
Bondi Beach
MANLY BEACH
The Corso
Manly
HYDE PARK
St Mary’s Cathedral
Archibald Fountain
Museum Station
St James Station
Sydney Opera House
Harbour Bridge
Manly
North Sydney
Darling Harbour
Bennelong Point
Art Gallery of NSW
Museum of Contemporary Art
Milsons Point Station
The Rocks
Rocks Discovery Centre
OBSERVATORY HILL
Paddy’s Markets
The Rocks Markets
Bondi Markets
Rozelle Collectors Market
BICENTENNIAL PARK
Treillage Tower
Homebush Bay
Olympic Park Station
Concord West Train Station
Town Hall Station
Base Backpackers
Chinatown
The Scary Canary
Taronga Zoo
