Coogee
Bondi Iceburgs
Central
Manly
Bondi
Bronte
Dee Why
Royal Botanic Gardens
Mrs. Macquarie’s Chair
Bondi Junction
Bondi Beach
Circular Quay
Sydney Harbour
The Rocks
Opera House
Harbour Bridge
Hyde Park
St Mary’s cathedral
Sydney Tower
Art Gallery of NSW
Taronga Zoo
Middle Harbour
Palm Beach
Freshwater
Queenscliff
Balmoral
Clovelly
Surry Hills
Paddington
Darlinghurst
Darling Harbour
Convention Centre
Aquarium
Newtown
Chinatown
Ms G’s Restaurant
Potts Point
Cafe Sydney
Sea Bay Chinese
Australian Heritage Hotel
El Loco Mexican Cantina
Excelsior Pub
Ampersand Cafe & Bookstore
North Bondi RSL
Sake Restaurant & Bar
Thanon Khaosan Thai Restaurant
BaBa Laksa House
Harry’s Cafe De Wheels
Harts Pub
The Observer Hotel
The Glenmore
Australian Heritage Hotel
The Clock Hotel
Forresters
Newport Arms
The Clovelly Hotel
Lord Dudley
Mecca Espresso
Campos Newtown
Sydney Harbour YHA
Sydney Central YHA
Wake Up!
Vibe Hotel CBD
Cambridge Hotel
Mercure Sydney
Park Hyatt Sydney
Shangri-La
QT Sydney
Hilton
Cockatoo Island
